report,datetime,coords,Did you follow the GTOA protocol (drop sails\ stop boat\ engine off and keep a low profile) and how long did the interaction continue?,Boat Type,Boat length (metres),Were you towing an inflatable and if so did the orcas interact with it before interacting with the boat?,Were you trailing a fishing lure when the interaction commenced?,During the Interaction did one or more orcas make physical contact with the boat?,Number of adult orcas seen,Rudder,Motoring or sailing,Speed (knots),Sea state,Wind speed (Beaufort),Darkness or daylight,Cloud cover,Distance off land (nautical miles),Depth (metres),Depth gauge,Autopilot,Hull topsides colour,Antifoul colour,Was the boat damaged and in need of repair?,Was a tow required?,Response by crew,Behaviour of orcas,Stage of day,Moon,Tide,Number of juvenile orcas seen,Did you manage to reverse before the orca hit the boat?,Did the orca hit the rudder?,Did the orca hit the bow?,Did any method stop the orca hitting the rudder? (Tick any method that worked),Did they return?,Number of orcas\ uncertain of age\ seen,How did you reverse? (Tick any method you tried),How long did you reverse for?,If you reversed in a circle did the orcas hit the rudder by coming from,Did the orca leave the area when you reversed?,Please describe the behaviour of the orca before and during reversing,When they returned were you
Report ID: Inter116,2023-03-10 07:15:00,35 49.3560 N\ 5 58.3460 W,Yes\ followed protocol\ interaction lasted more than 60 minutes,Sail,12.5 - 15m,Not towing,,,,Twin rudder,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Dawn,75 - 100%,2 - 5,200m+,On,On,White/light,Black,No,No,Contacted Tarifa Trafic. Followed their advice and switched the engines off. We took no further actions. Just waited and had some tea.,Agressiv\ swimming around the boat\ under the boat\ trying to bite the rudder but without success as we have the props behind them.,daytime,waning\93% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter114,2023-01-26 23:05:00,38 25.0000 N\ 9 18.0000 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,Over 15m,Not towing,,,,Spade,Motoring,5 - 7,Moderate,3 - 4 (7 - 16 knots),Night,0 - 25%,5 - 10,200m+,On,On,White/light,Black,Yes\ moderate - immediate repairs required,Yes,lorsque cela s est passer\j étais sous pilot auto\régime moteur 1800 tm et je marcher a 7 n .les orques étaient trois et on casser le safran en percutant violemment le bateau .le pilot a décrocher \j ai prix la bar de suite et la plus de direction .le bateau et parti direct en faisant cap sur le continent a 7 n .ensuite les orque on commencer a percuter les coques \car s est un trimaran de 51 p .j ai appeler le cross gris-nez par tel\et j ai appliquer le protocole sous leur conseil \couper toute instrument qui fais du bruit\ou qui émet des onde .pilote\moteur \chauffage\ext.. les orques ne se sont pas arrêter \alors j ai éteint toute les lumières et je me suis laisser dériver .au bout de 30 mm environ \les orques sont partie .l inter action a duret une bonne 1 h passer/// when it happened\ I was under autopilot\ engine speed 1800 rpm and I was travelling at 7 n. there were three killer whales and they broke the rudder by hitting the boat violently. the pilot switched off\ I immediately took the rudder and steered. the boat left direct\ heading for the continent at 7 n. then the killer whales started to hit the hulls\ because it was a 51-foot trimaran. I called the Cross Gris-nez by telephone\ and I have applied the protocol under their advice\ cut off any instrument that makes noise\ or that emits waves. driver\ motor\ heating\ exterior.. the killer whales did not stop\ so I turned off all the lights and let myself drift. After about 30 mm\ the killer whales left. The interaction lasted a good 1 hour.,très violant \et agresif/// Very violent and aggressive.,undefined,waxing\32% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter112,2023-02-21 15:00:00,38 24.0400 N\ 9 16.9200 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Full skeg,Sailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Day,25 - 50%,2 - 5,40 - 200m,On,Off,White/light,Red,Yes\ moderate - immediate repairs required,Yes,I would describe the interaction as a sneak attack. We could not see the orcas approaching because the did not approach the boat on surface. The first sign was the hit on the helm. The helmsman felt a very clear bump on the rudder\ but he doubted himself and did not communicate it. After a minute\ a second hit arrived and he said that something was wrong with the stearin wheel at the same time a crew member communicated that she saw something in the water. After another minute a third hit to the rudder arrived and they surfaced. It was a pack of 3-4 killer whales. We turned on engine with the hope to dissuade them from the rudder\ but it was already too late\ the 4th hit arrived and the rudder was blocked in an extreme position and not usable anymore. We dropped sails and called for a tow. While calling I turned off the depth meter which was beeping in alarm because the animals were swimming at 40cm from the keel. During radio communication the orcas lightly bumped the hull 3-4 times and toyed with us for approximately 15 minutes in total. The rescue boat arrived in 20-30 minutes,Read above,daytime,waxing\3% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter111,2023-02-20 13:15:00,38 26.4200 N\ 9 13.0700 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motorsailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,0 - 2,40 - 200m,On,On,White/light,Blue,Yes\ extensive - major works required,Yes,Sailing under engine\ 1 nm west of Cabo Espichel we saw 3 Orcas coming quickly from west to us and started to push us. Before we put off the sounder\ the engine and put the mainsail down. We kept quiet and moved only slowly on the boat. A moment later 2 other orcas arrieved. The fist 3 (2 big ones and one smaller) and 2 new (small) pushed us left and right\ and as we saw later\ the crashed our rudder. After arround 10 minutes of high activity\ it become less and finaly after 20 minutes more they left us in direction west (open sea). After the left us we had been forced to call the ocean rescue by mayday because we could not more navigate with the boat and drifted slowly towards the stoney coast.,We took several videos which we will sent you shortly.3 Orca(2 big; 1 small) arrived from open sea\ some minutes later 2 other (small) arrived. For 10 minutes the pushed us heavy from left to right\ than for about 20 minutes more seldom. At one of the heavy contacts we saw that they "played" with 1 meter of our broken rudder. We took several videos. Please give us a whatsapp number so that we can sent you those videos for probably identification.,daytime,waxing\0% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter110,2023-02-12 15:11:00,35 49.0000 N\ 5 55.0000 W,Yes\ followed protocol\ interaction lasted more than 60 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Sailing,5 - 7,Rough,5 - 6 (17 - 27 knots),Day,25 - 50%,2 - 5,40 - 200m,On,On,White/light,Black,Yes\ extensive - major works required,No,,5/6 orques ont cassé les 2 safrans/// 5/6 Orca broke the two rudders.,daytime,waning\61% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter109,2023-02-07 18:05:00,35 51.2000 N\ 5 57.2000 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motorsailing,8 - 11,Moderate,5 - 6 (17 - 27 knots),Day,0 - 25%,2 - 5,200m+,On,On,White/light,Other,Yes\ extensive - major works required,No,I was driving on autopilot as traffic separation scheme was ahead. With a wind of 15-17 knots I had set the mainsail and the jib and was sailing close-hauled with about 45 degrees. The machine ran slowly. I had heard an exhale behind me and then the first hit against the rudder followed. Since I was traveling single-handed\ I could no longer salvage the sails. I turned off the autopilot and continued to steer myself. Since I was now in front of the traffic separation scheme\ I increased the engine speed and tried to avoid the animals with the wind. I drove snake lines and when the animals were next to me and dived under the hull I drove to the opposite side. This has worked several times. There were three animals. A large one with a length of approx. 8-9m and two smaller ones with a length of approx. 6m. The smaller ones pushed against the rudder several times. Twice I was turned 180 degrees by the big animal at full speed of 8-9 knots. The interaction lasted 25 minutes. It didn't feel like an attack\ it was more like training. I didn't notice the damage to the rudder at first because I was able to continue sailing normally. However\ the ship had difficulties keeping upwind. I continued to sail to La Linea under motor sails. I only saw the damage to the rudder in port. The rudder is completely broken off in the lower third and half is missing in the rear area.,The animals were visible most of the time under the water surface. The big animal swam with a little distance\ the smaller animals usually swam next to the boat in the rear area and then dived under the boat to ram the rudder.,dusk twilight,waning\96% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter108,2023-01-07 04:00:00,35 54.1200 N\ 5 54.1240 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Full skeg,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Night,50 - 75%,5 - 10,200m+,On,On,White/light,Red,Yes\ extensive - major works required,No,We had 5-10 initial very hard impacts from what we think were 2 large Orcas. More Orcas of different sizes joined after a few minutes. We had full moon and could see them swimming all around the boat. We stopped the boat immediately. The Ruder Quadrant sheered of on the second hard impact so we could not no longer manoeuvre the boat. The very strong full rudder skeg must have broken after 3-5 minutes of repeated impacting\ causing the rudder shaft bearing to break off this causing a big leak. We left the engine running in idle. Maday call was send and handled by Tarifa traffic. We then managed to reduce the leak with a bedsheet and rope and the 2 large electric pumps kept the water in the boat down. We cancelled Mayday call after 10 minutes. The Orcas suddenly left after around 15 minutes. Under engine and with the Hydrovane windvane steering we made it into Tangier where the boat was lifted out.,The first two impacts came without warning and were the most severe. We initially only saw two large Orcas. There was a clear pattern of them swimming up to the boat\ noisily blowing out air 5-10 meters from the boat and them diving under hitting the boat in the rudder section. After 3-5 minutes many more Orcas of different sizes turned up\ probably 6-10. The impacts then felt more playful and they then also started to push the boat along. At one point we had 3 knots on the log. We did not expect to see Orcas in the straight of Gibraltar that early in the year.,before dawn,waning\100% illuminated\within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter107,2022-09-16 12:00:00,42 5.0000 N\ 9 2.0000 W,Yes\ followed protocol\ interaction lasted more than 60 minutes,Sail,10 - 12.5m,Not towing,,,,Spade,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,5 - 10,40 - 200m,On,,White/light,Blue,Yes\ moderate - immediate repairs required,Yes,FROM A REPORT OBTAINED BY GTOA: They were calm and felt blows and saw the orcas. There was no previous sighting of the orcas before they hit the rudder. They notified Salvamento\ who told them to turn off engine and electronics. They alerted a nearby ship that circled the boat. After an hour as the orcas did not leave\ they started the engine to see if they would leave them behind but the interaction lasted 3hours. On the boat were 4 people and a dog Apparent damage\ reparation required\ boat towed? Broken rudder mechanism. They were towed by salvamar. The crew were fishing from the stern. The antifoul was dark blue.,Number and behaviour of the orcas observed? It was 4 – 5 orcas\ and one was small. The two largest orcas were under the boat\ the others were approaching and moving away. There were no other species of cetaceans with them. The two largest hit the ship\ the others watched. Explosive bubbles and bumps.,daytime,waning\64% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter106,2022-11-30 11:00:00,37 23.4800 N\ 8 56.1900 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Full skeg,Motorsailing,3 - 4,Calm,5 - 6 (17 - 27 knots),Day,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Black,Yes\ extensive - major works required,Yes,We were engine sailing at 4 or 5 knots with the autopilot on when we suddenly got a big bang on port side. It felt as if we had hit a rock. We immediately turned off the engine and autopilot. The orca hit us 3 or 4 times as we threw sand and banged with a hammer on a Steel Rod which we had hanging in the water. It went away but after 5 minites it returned to bang on the rudder again\ maybe 3 times. We banged wildly with the hammer on the Steel Rod and after a few minutes it disappeared. We now had no steering and no wind\ the boat was not moving much. Both the main rudder and hyrovane emergency rudder were damaged and not working. Inside the boat the steel metal unit for the cable was broken in 3 parts\the fiberglass around the rudder was cracked and there was a water leak underneath the rudder attachment somewhere. The bilde pump alarm was being activated every 10 minutes. We tried many times to contact the coast guard by vhf but got no answer. We sent a VHF message to all ships in the area\ about our position and situation. No answer. We then sent a Pan Pan message\ no answer. We phoned Sines marina\ they could not help us much\ but we managed to phone the police in Sines. We then got a phone call from Lisbon rescue team asking if we fine or in danger. We told them we had a water leak but were managing to keep it under control when we manually pumped the bilge every 10 minutes. They would then send a rescue crew. The rescue team arrived by rib at 1.30 PM and towed us to the harbour of Beleeira\ after 4 hrs. We were then attached to a mooring. ( we had to manually pump the bilge every 5 minutes while being towed) Now on mooring we tried to get a tug boat to bring us to Lagos so we could get lifted on land. No one was available... Phoned a tow company who recommended us to get a diver in Beleeria to try and seal the leak. We had to pump every 10 minutes now. Diver came and saw a 1 meter crack on the hull where the rudder was attached to the hull. He tried to seal it with silicone but it did not hold so he tried again with 2 component epoxy. He could not reach the crack nearest the rudder but less water was leaking now. So during the whole night the bilge alarm went off every 20 minutes and we had to manually empty the bilge then in order to avoid overflooding. Already the floors in the rear cabin and a corridor floor were been flooded. At 8AM the next morning we were exhausted and managed to get a tow boat from Beleeira ( none were available in Lagos) to bring us to Lagos. It took 7 hrs to get towed by a rib boat with 225 hrp. We had contacted Lagos marina and they were waiting for us. As soon as we arrived we were lifted up. We paid the diver and towing crew and they would send us a report and invoice.We slept while on slings and today\ December 2\ we are placed on land in the Lagos marina boatyard. On arrival we made contact with the police and registered with the harbour master today. We contacted our insurrance company right after the attach and will send them a copy of this report. The reporter added the following comments at a later date when contacted by the Cruising Association: "We used the steel emergency shaft and banged on it with a heavy steel hammer. We had beforehand welded on a steel extension. It is therefore 132cm long and has a 90 degree attachment 36cm long. It is hollow. We only threw a hand-full of sand\ bending over to empty the bucket was too dangerous. So I cannot say whether sand helps or not. We had 2 buckets of sand but didn't get to use them.,attacked the rudder with full power,daytime,waxing\48% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter105,2022-12-03 16:00:00,38 44.5620 N\ 9 33.8030 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Semi skeg,Motorsailing,3 - 4,Calm,5 - 6 (17 - 27 knots),Day,0 - 25%,2 - 5,40 - 200m,On,On,Dark colour,Black,Yes\ moderate - immediate repairs required,No,Attaque très rapide\ quelques secondes. Le safran a cassé au premier et seul choc. Arrêt immédiat du pilote. Moteur allumé car pas de vent. Grand voile haute\ génois roulé. Pas eu le temps de descendre la grand voile et d'éteindre le moteur\ l'interaction s'est arrêtée. Nous pensons que l'interaction s'est arrêtée très vite car la partie basse en bois du safran a cassé net dès le début et le bruit du pilote s'est arrêté. L'orque est revenu une fois vers le bateau mais il n'y avait plus rien à casser. La partie haute du safran est en métal./// Very fast attack\ a few seconds. The rudder broke on the first and only impact. Pilot stop immediately. Engine on because no wind. Mainsail up\ genoa rolled up. Didn't have time to lower the mainsail and turn off the engine\ the interaction stopped. We believe that the interaction stopped very quickly because the lower wooden part of the rudder snapped at the start and the noise from the pilot stopped. The orca once came back to the boat but there was nothing left to break. The upper part of the rudder is made of metal.,Nous avons d'abord entendu des cris. Nous étions à l'intérieur du bateau et avons cru entendre un oiseau ou une alarme. Le temps de chercher l'origine du bruit nous avons ressenti un gros choc et vu la partie basse du safran flotter. Puis nous avons vu une orque venir vers l'arrière du bateau\ s'approcher du reste du safran et faire demi tour. Nous avons vu l'aileron s'éloigner et plus rien. Pas eu le temps de prendre des photos\ quelques secondes pour l'attaque et quelques minutes entre les cris entendus et la fin./// First we heard screams. We were inside the boat and thought we heard a bird or an alarm. While searching for the source of the noise\ we felt a big shock and saw the lower part of the rudder float. Then we saw an orca come towards the back of the boat\ approach the rest of the rudder and turn around. We saw the fin move away and nothing. Didn't have time to take pictures\ a few seconds for the attack and a few minutes between the screams heard and the end.,daytime,waxing\81% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter104,2022-12-03 12:33:00,38 37.1360 N\ 9 30.2890 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Twin rudder,Motoring,5 - 7,Calm,5 - 6 (17 - 27 knots),Day,25 - 50%,5 - 10,40 - 200m,On,On,White/light,Other,Yes\ extensive - major works required,No,Sat 3/Dec 12:33 GMT 38º 37.136 N 9º 30.289 W Course: 229° true\ 4.4 kts Sail plan was to depart Combrit-St. Marine\FRA\ go west\ outside Bay of Biscay to Canarias\ then go to Caribbean. Very strong low pressure system rerouted us to Cascais\ POR for extra fuel\ then ship to Madeira. Motoring out of port after brief layover for 2 hour fuel\ shower stop. On autopilot\ medium motoring speed. Getting ready to hoist sails\ still in cell phone range\ talking to father on mobile device. 4 members on board\ 3 on deck\ in cockpit. Overcast sky. Bottom side paint Is grey.. The orcas struck without warning.. No circling\ blow hole noise\ plumes. They came from below and struck port side rudder - instigated by a single "dirty" looking one (the white part was actually greenish- brown). Two other orcas swam 10-15 meters below the thug. The thug immediately came around and hit the same port rudder a second time - about 30 servings after the initial attack. We were just understanding what had happened from the first hit when the second hit occurred. We immediately initiated an Orca protocol we had rehearsed: Crew 1 - Disengage autopilot - go grab 3x4 foot piece of white fiber board\ with 30 for line attached\ to drag behind boat ( This never got deployed). Crew 2 - Stop engine. Pour four 1.5 litter bottles of urine over transom. (Urine had ZERO effect). Place boathook in water\ bang on it with metal lbilge pump handle (ZERO effect - except I was able to "poke" the thug with the boat hook. This did nothing\ the thug merely pushed it away). Crew 3. Open holding tanks - about 15 gallons on starboard and 3 gallons on port. (ZERO effect\ the thug swam right through it\ undeterred). Grab Ditch bags. Crew 4. Lower sails (already down) spot for orcas\ prepare radio call (no need) . The damaged rudder caused the boat to move in a circle. At this time\ a second pod of three appeared about 100M away\ swimming in a circle around us. After a few minutes\ the thug came back for another go at our starboard rudder. I vigorisly moved boat hook around the good rudder\ banging on it with the handle\ to make a metallic sound. I also thrust the pole at the thug as he swam around the good rudder. I did not make any physical contact this time\ but did make eye contact. The other two swam below the thug again. After a few minuets of not being able to get to the good rudder\ the thug and his gang left. After a few minutes both pods of 3 swam in circles around the boat\ about 100M away. Again\ I vigorously banged on the boat hook. After a few minutes\ they left for good.,One thug\ having dirty skin\ causing all damage. The others just swam around,daytime,waxing\79% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter103,2022-11-16 16:00:00,38 28.8700 N\ 8 56.2600 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Semi skeg,Motoring,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,50 - 75%,0 - 2,20 - 40m,On,On,Dark colour,Black,No,No,One orca surfaced and blew out directly next to the boat (less than one meter\ almost against the stern). It directly left again before we could do any thing. We disengaged the autopilot and steered towards the sandbanks full speed. It occured in the chanel to Setubal\ already next to the sandbanks. Water around 25m. Aluminium OVNI43\ rudder and keel were down.,The orca surfaced once right next to the rear half of the boat\ almost against it and blew out. After the orca dove we saw a small pod of orca’s (3-4) about 100 m behind us next to the green marker. It looked like they were waiting\ did not move. A clear blow out could be seen. After a few minutes all were gone. It all went to fast to take pictures.,daytime,waning\49% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter102,2022-06-01 11:00:00,36 9.4750 N\ 6 20.0170 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Twin rudder,Motorsailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Day,75 - 100%,Over 10,40 - 200m,On,On,White/light,Other,Yes\ moderate - immediate repairs required,No,NOTES FROM A REPORT OBTAINED BY GTOA: There was a single orca. During the interaction we turned off the automatic pilot and the electronics and hid inside the boat. we could not turn off the motor due to a problem with the electrical panel and if we turned it off we could not turn it on again. The antifoul is grey.,The crew did not watch the interaction\ following the protocol advice they hid below.,daytime,waxing\3% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter101,2022-11-20 10:50:00,38 36.0000 N\ 9 5.0000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Semi skeg,Sailing,3 - 4,Calm,7+ (28 knots+),Day,0 - 25%,5 - 10,40 - 200m,On,,White/light,Blue,Yes\ moderate - immediate repairs required,No,j'ai vu les orques(au moins quatre) arriver droit sur mon bateau puis commencer à le pousser par l'arrière .Le bateau tournait sur lui même. Ma première préoccupation a été de relever le safran du régulateur d'allure qui avait été percuté par les orques. La barre était reliée au régulateur donc bloquée par rapport au safran. Je n'ai pas pensé à la libérer tout de suite\ c'est sans doute pourquoi la poussée des orques sur le safran a détérioré la jonction barre et tube de jaumière. J'ai fini par par y penser.Encore 2 ou 3 poussée des orques puis elles son parties vers le cap Espichel. Interaction d'environ 5 minutes. J'ai rejoins Sesimbra au moteur avec la barre à 45° de sa position habituelle. Tout est aller très vite et je n'ai rien fait qu'essayer de sauver mon régulateur./// I saw the killer whales (at least four) coming straight at my boat and then starting to push it from behind. The boat was turning on itself. My first concern was to raise the rudder of the wind vane which had been hit by the killer whales. The helm was connected to the regulator and therefore locked in relation to the rudder. I didn't think of freeing it right away\ which is probably why the killer whales pushing on the rudder damaged the junction between the bar and the rudder tube. I ended up thinking about it. Another 2 or 3 push of the killer whales then they left for Cape Espichel. Interaction of about 5 minutes. I joined Sesimbra under engine with the helm at 45° from its usual position. Everything went very quickly and I did nothing but try to save my regulator.,Les m'ont semblé jouer à la toupie avec mon bateau sans agressivité. Quand j'ai relevé le safran de mon régulateur\ ce qui m'oblige à me pencher hors du bateau et mettre les mains à ras de l'eau \ le museau d'une orque était à ras de ma voute arrière et je me suis dis que j'aurai pu lui gratter le nez./// The seemed to me to play spinning top with my boat without aggressiveness. When I raised the rudder of my regulator\ which forced me to lean out of the boat and put my hands at water level\ the muzzle of an orca was flush with my rear arch and I say I could have scratched his nose.,daytime,waning\15% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter100,2022-11-24 09:35:00,42 53.6000 N\ 9 30.3000 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,Over 15m,Not towing,,,,Spade,Motorsailing,3 - 4,Rough,5 - 6 (17 - 27 knots),Day,75 - 100%,5 - 10,40 - 200m,On,On,White/light,Coppercoat,Yes\ moderate - immediate repairs required,No,The pod\ or about 8-10 Orcas circled to start with then began coming in\ one at a time and hitting the rudder. ~Could not be sure whether it was a deliberate attack on the rudder or to get at the propeller. By the time the engine was off the damage had been done. The Autohelm was damaged and a connecting rod\ between wheel and quadrant had been broken,Hard to say whether they were playing or not. They created a circle around our stern and took it i n turns to come in and hit the rudder. There was one very large Orca\ moire than 15 feet in length\ two medium sized ones of about 10 feet\ and the remainder were smaller. Once the boat was damaged and stopped\ sails furled\ they left.,daytime,waxing\0% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter99,2022-09-20 11:00:00,43 50.4290 N\ 8 8.5230 W,No\ did not follow protocol\ interaction lasted more than 60 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Sailing,8 - 11,Moderate,5 - 6 (17 - 27 knots),Day,0 - 25%,Over 10,40 - 200m,On,On,White/light,Blue,Yes\ extensive - major works required,Yes,Feeling the first hit\ the crew lowered the sails (engine was off)\ started the engine to reverse (difficult due to swell and wind)\ but it didn't work\ orcas kept hitting the boat. There were 2 small orcas and 3 or 4 bigger than the rest. Did they follow the protocol? Not quite\ first they went into reverse and when that did not work they turned off the engine but they didn't turn off the depth sounder. Did they interact with the orcas? No\ but they made noises (hitting objects) to try to scare them\ but it didn't work. Apparent damage\ repair required\ boat towed. Delaminated rudder\ twisted stock\ broken cables and autopilot. Requires repair. It required to be towed.,Of the 6 - 8 killer whales\ 1 or two seemed to interact the most\ large (they were not the small ones). They were hitting the rudder\ they were making big bubbles. Most of the time the orca that hit the boat swam to the left side\ dived to hit (not hit from behind)\ and returned to the same position and repeated the operation. The crew also felt bumps on the keel and they think they bit it\ because there are some marks on the bottom of the keel\ one about 1.5 cm in diameter\ which they think are killer whale tooth marks. A pod of dolphins arrived\ the orcas began to vocalize\ and after 2 minutes they left.,daytime,waning\27% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter98,2022-10-20 13:00:00,46 2.0000 N\ 2 26.0000 W,No\ did not follow protocol\ interaction lasted 10 to 30 minutes,Sail,12.5 - 15m,Not towing,,,,Full skeg,Sailing,5 - 7,Moderate,5 - 6 (17 - 27 knots),Day,50 - 75%,Over 10,200m+,Off,Off,Dark colour,Coppercoat,Yes\ extensive - major works required,No,46°02'15.9"N 2°26'26.7"W Around 1pm I noticed the orca breathing about 1000 meters from my boat. there were three orcas on the water surface. after that it was quiet. we were three people on bord and we took up our positions. A person at the urine tank with no solid waste. One person on the radio and one person at the wheel. Around 1:10 p.m. there were four or five orcas behind the boat and the first vibrations on the hull were noticeable. A large orca was right next to the boat\ the others surfaced and blew air.After two jolts\ the engine was started and reverse gear engaged\ the sails turned to the wind\ slow walking speed backwards.there was no more vibration for about 10 minutes. there were no orcas on the boat. the engine was turned off. 10 minutes later a single large orca under the boat touched the rudder and bent the detent and bit off the rudder. now the urine tank was opened. There were no more attacks.the boat was no longer steerable. we installed an emergency solution on the bathing platform\ which was already screwed on and was installed in 5 minutes. the return trip to la rochelle could be steered by hand. We only read the GTOA protocol in November 2022,only one orca was active\ the others just watched. the adult large animals are the ones that attack. if the rudder is defective\ all the animals have disappeared,daytime,waning\25% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter97,2022-04-26 00:06:00,36 7.6550 N\ 6 1.3070 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,75 - 100%,2 - 5,20 - 40m,On,On,Dark colour,Black,Yes\ minor - will wait until the end of the season,,We had just bought our Beneteau 50 in Italy\ and were on our way to Denmark with the boat. We did a stop in Gibraltar to fuel\ and when we came out through the Gibraltar straight thats when the interaction happened. We spotted the Orcas maybe a minute before they actually interacted with the boat. Three orcas came close to the boat\ and two-three orcas stayed further behind. It was obvious that it was the bigger orcas that stayed behind\ and the smaller ones who came close to the boat. At first at least one of them was swimming at the bow. We were four people on board\ and at first I was at the bow watching the one there. Our autopilot was on\ but all of a sudden the boat turned 90 degrees\ and we realised that one of the Orcas was playing with the rudder. We were motoring and just continued our way. Two orcas were constantly at the stern\ with the heads under boat. We could feel them locking the rudder so we couldn't turn\ but after a few minutes they swam away. Everything went quite quickly. We have photos of the orcas which we are happy to share if needed. The autopilot mount on the rudder broke\ but that was it. We continued our sail to Cascais. We dove down to check the rudder in the harbour\ but there was nothing really to see. We changed our autopilot and continued the trip to Denmark.,Fast and playful.,before dawn,waning\24% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter96,2022-11-19 16:15:00,38 25.0000 N\ 9 4.0000 W,Yes\ followed protocol\ interaction lasted 30 to 60 minutes,Sail,10 - 12.5m,Not towing,,,,Full skeg,Sailing,5 - 7,Calm,7+ (28 knots+),Dusk,75 - 100%,0 - 2,40 - 200m,On,On,Dark colour,Blue,Yes\ extensive - major works required,Yes,Navagavamos a vela quando sentimos o leme preso\ não tivemos tempo de fazer mais nada\ apenas baixar as velas\ ligar o motor e dar marcha a ré. Não conseguimos mais ter leme\ muitas tentativas de marcha a ré sem resultado./// We were under sail when we felt the rudder stuck\ we didn't have time to do anything else\ just lower the sails\ start the engine and reverse. We could no longer use the rudder\ many attempts to reverse with no result.,As orcas interagiram durante cerca de 45 minutos\ eram entre 4 a 6. Rondaram o barco e interagiam durante o tempo todo./// The orcas interacted for about 45 minutes\ between 4 and 6. They circled the boat and interacted the entire time.,daytime,waning\21% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
